                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2989,                 1.1181,                 1.0614,                0.79433,                0.69721,                0.74008,                0.44465,                 1.1895,                 0.6794,                 1.0306,             0.00047447,             0.00047447,             0.00047447
                      2,                 1.2405,                0.72523,                 1.0243,                0.76979,                0.74659,                0.79661,                0.48312,                 1.2067,                0.68954,                 1.0515,             0.00094878,             0.00094878,             0.00094878
                      3,                 1.2359,                0.71861,                  1.028,                0.79757,                0.77634,                0.80644,                0.48526,                 1.1937,                 0.6446,                 1.0452,              0.0014211,              0.0014211,              0.0014211
                      4,                 1.2275,                0.65391,                 1.0203,                0.86045,                0.76186,                0.83443,                0.51495,                 1.1612,                0.60467,                 1.0272,              0.0014199,              0.0014199,              0.0014199
                      5,                 1.2122,                0.65419,                 1.0212,                0.85825,                0.77434,                0.83803,                0.52239,                 1.1635,                0.61078,                 1.0395,              0.0014199,              0.0014199,              0.0014199
                      6,                 1.1979,                0.63863,                 1.0167,                0.87759,                 0.7826,                0.85142,                0.53758,                 1.1354,                0.58971,                  1.028,              0.0014168,              0.0014168,              0.0014168
                      7,                 1.1875,                0.60562,                  1.012,                0.88471,                0.81521,                0.85277,                0.53469,                  1.147,                0.57353,                 1.0246,              0.0014138,              0.0014138,              0.0014138
                      8,                  1.184,                0.61248,                 1.0114,                0.91179,                   0.79,                 0.8681,                0.54213,                 1.1462,                0.56922,                 1.0283,              0.0014107,              0.0014107,              0.0014107
                      9,                 1.1819,                0.61023,                 1.0118,                0.87348,                0.82625,                0.86737,                0.53572,                 1.1249,                0.56068,                 1.0217,              0.0014077,              0.0014077,              0.0014077
                     10,                  1.148,                0.58046,                0.99504,                0.91505,                0.79882,                0.88318,                0.55496,                 1.1377,                0.54706,                 1.0211,              0.0014047,              0.0014047,              0.0014047
                     11,                 1.1654,                0.57621,                 1.0005,                0.89641,                0.82926,                 0.8812,                0.55043,                 1.1455,                0.54378,                 1.0173,              0.0014016,              0.0014016,              0.0014016
                     12,                 1.1379,                0.55354,                0.99071,                0.89343,                0.81418,                0.86916,                0.54239,                  1.198,                0.57694,                 1.0483,              0.0013986,              0.0013986,              0.0013986
                     13,                 1.1174,                0.55315,                0.98257,                0.86857,                0.83359,                0.87602,                 0.5685,                 1.1003,                0.52987,                0.99987,              0.0013955,              0.0013955,              0.0013955
                     14,                 1.1254,                0.54797,                0.98273,                0.91554,                0.84398,                 0.8968,                0.58438,                  1.085,                0.52331,                 1.0074,              0.0013925,              0.0013925,              0.0013925
                     15,                 1.1259,                0.54761,                0.99155,                0.87032,                0.82938,                0.86991,                0.54735,                 1.1187,                0.52821,                  1.019,              0.0013894,              0.0013894,              0.0013894
                     16,                 1.1154,                0.53923,                0.98697,                0.89536,                0.84138,                0.88034,                 0.5628,                 1.1006,                0.52765,                 1.0085,              0.0013864,              0.0013864,              0.0013864
                     17,                 1.1131,                0.54149,                0.98544,                0.89793,                0.84201,                0.88741,                0.55693,                 1.1172,                0.52264,                 1.0069,              0.0013834,              0.0013834,              0.0013834
                     18,                 1.1241,                0.53401,                0.98894,                0.86752,                0.84654,                0.88411,                0.55677,                 1.1046,                0.52062,                 1.0135,              0.0013803,              0.0013803,              0.0013803
                     19,                 1.1156,                0.53595,                0.98073,                0.86831,                 0.8137,                 0.8645,                0.55837,                 1.1213,                0.52019,                  1.006,              0.0013773,              0.0013773,              0.0013773
                     20,                 1.1214,                0.52546,                0.98669,                0.89552,                0.82809,                0.88148,                0.57716,                 1.1027,                0.49985,                 1.0136,              0.0013742,              0.0013742,              0.0013742
                     21,                 1.0977,                0.52297,                0.97977,                0.92898,                0.86038,                0.91114,                0.59004,                 1.0813,                0.49332,                 1.0043,              0.0013712,              0.0013712,              0.0013712
                     22,                 1.0868,                0.52204,                0.97518,                0.90048,                0.85169,                0.90049,                0.57019,                 1.0859,                0.52035,                 1.0088,              0.0013682,              0.0013682,              0.0013682
                     23,                 1.0846,                0.51476,                0.97245,                0.91676,                0.84176,                 0.8929,                0.57661,                 1.0933,                0.51637,                 1.0067,              0.0013651,              0.0013651,              0.0013651
                     24,                 1.0932,                0.51487,                0.97615,                0.92743,                0.85021,                0.89558,                0.57466,                 1.0988,                0.50582,                 1.0135,              0.0013621,              0.0013621,              0.0013621
                     25,                 1.0756,                0.50569,                0.97234,                0.91773,                0.83724,                0.88898,                0.56814,                 1.0833,                0.49858,                 1.0059,               0.001359,               0.001359,               0.001359
                     26,                 1.0779,                0.50913,                0.97192,                0.90389,                0.83719,                0.88782,                0.57821,                 1.0708,                0.48584,                0.99889,               0.001356,               0.001356,               0.001356
                     27,                 1.0758,                0.50378,                0.97463,                0.91994,                0.84255,                0.89404,                0.58261,                 1.0863,                0.48896,                 1.0105,              0.0013529,              0.0013529,              0.0013529
                     28,                 1.0674,                0.49864,                0.96589,                0.90769,                0.85074,                0.89585,                0.58679,                  1.066,                0.48198,                 1.0007,              0.0013499,              0.0013499,              0.0013499
                     29,                 1.0685,                0.49519,                0.96958,                0.92075,                0.85466,                0.89617,                0.58841,                 1.0783,                 0.4823,                0.99895,              0.0013469,              0.0013469,              0.0013469
                     30,                  1.072,                0.49995,                0.96824,                0.92412,                0.82827,                0.88531,                0.57134,                 1.1091,                0.49117,                 1.0148,              0.0013438,              0.0013438,              0.0013438
                     31,                  1.061,                0.49601,                0.96463,                0.89971,                0.85181,                0.89226,                0.57633,                  1.074,                0.48364,                 1.0011,              0.0013408,              0.0013408,              0.0013408
                     32,                  1.058,                0.48502,                0.96329,                0.92038,                0.85952,                0.90058,                0.59173,                 1.0725,                0.47926,                0.99178,              0.0013377,              0.0013377,              0.0013377
                     33,                 1.0596,                 0.4958,                0.96555,                0.91255,                0.84864,                0.89269,                0.57604,                 1.0728,                 0.4866,                0.99761,              0.0013347,              0.0013347,              0.0013347
                     34,                  1.054,                0.49328,                 0.9686,                0.91636,                0.85795,                0.89503,                0.58202,                 1.0905,                0.49681,                  1.011,              0.0013316,              0.0013316,              0.0013316
