0;param1;param2;good;bad
1;22.0;0.45;424.0;26.0
2;22.0;0.475;424.0;26.0
3;22.0;0.5;435.0;15.0
4;22.0;0.5250000000000001;435.0;15.0
5;22.0;0.55;435.0;15.0
6;22.1;0.45;424.0;26.0
7;22.1;0.475;424.0;26.0
8;22.1;0.5;435.0;15.0
9;22.1;0.5250000000000001;435.0;15.0
10;22.1;0.55;435.0;15.0
11;22.2;0.45;424.0;26.0
12;22.2;0.475;424.0;26.0
13;22.2;0.5;435.0;15.0
14;22.2;0.5250000000000001;435.0;15.0
15;22.2;0.55;435.0;15.0
16;22.3;0.45;424.0;26.0
17;22.3;0.475;424.0;26.0
18;22.3;0.5;435.0;15.0
19;22.3;0.5250000000000001;435.0;15.0
20;22.3;0.55;435.0;15.0
21;22.4;0.45;424.0;26.0
22;22.4;0.475;424.0;26.0
23;22.4;0.5;435.0;15.0
24;22.4;0.5250000000000001;435.0;15.0
25;22.4;0.55;435.0;15.0
26;22.5;0.45;424.0;26.0
27;22.5;0.475;424.0;26.0
28;22.5;0.5;435.0;15.0
29;22.5;0.5250000000000001;435.0;15.0
30;22.5;0.55;435.0;15.0
31;22.6;0.45;424.0;26.0
32;22.6;0.475;424.0;26.0
33;22.6;0.5;435.0;15.0
34;22.6;0.5250000000000001;435.0;15.0
35;22.6;0.55;435.0;15.0
36;22.7;0.45;424.0;26.0
37;22.7;0.475;424.0;26.0
38;22.7;0.5;435.0;15.0
39;22.7;0.5250000000000001;435.0;15.0
40;22.7;0.55;435.0;15.0
41;22.8;0.45;424.0;26.0
42;22.8;0.475;424.0;26.0
43;22.8;0.5;435.0;15.0
44;22.8;0.5250000000000001;435.0;15.0
45;22.8;0.55;435.0;15.0
46;22.9;0.45;424.0;26.0
47;22.9;0.475;424.0;26.0
48;22.9;0.5;435.0;15.0
49;22.9;0.5250000000000001;435.0;15.0
50;22.9;0.55;435.0;15.0
51;23.0;0.45;424.0;26.0
52;23.0;0.475;424.0;26.0
53;23.0;0.5;435.0;15.0
54;23.0;0.5250000000000001;435.0;15.0
55;23.0;0.55;435.0;15.0
56;23.1;0.45;424.0;26.0
57;23.1;0.475;424.0;26.0
58;23.1;0.5;435.0;15.0
59;23.1;0.5250000000000001;435.0;15.0
60;23.1;0.55;435.0;15.0
61;23.2;0.45;424.0;26.0
62;23.2;0.475;424.0;26.0
63;23.2;0.5;435.0;15.0
64;23.2;0.5250000000000001;435.0;15.0
65;23.2;0.55;435.0;15.0
66;23.3;0.45;424.0;26.0
67;23.3;0.475;424.0;26.0
68;23.3;0.5;435.0;15.0
69;23.3;0.5250000000000001;435.0;15.0
70;23.3;0.55;435.0;15.0
71;23.4;0.45;424.0;26.0
72;23.4;0.475;424.0;26.0
73;23.4;0.5;435.0;15.0
74;23.4;0.5250000000000001;435.0;15.0
75;23.4;0.55;435.0;15.0
76;23.5;0.45;424.0;26.0
77;23.5;0.475;424.0;26.0
78;23.5;0.5;435.0;15.0
79;23.5;0.5250000000000001;435.0;15.0
80;23.5;0.55;435.0;15.0
81;23.6;0.45;424.0;26.0
82;23.6;0.475;424.0;26.0
83;23.6;0.5;435.0;15.0
84;23.6;0.5250000000000001;435.0;15.0
85;23.6;0.55;435.0;15.0
86;23.7;0.45;424.0;26.0
87;23.7;0.475;424.0;26.0
88;23.7;0.5;435.0;15.0
89;23.7;0.5250000000000001;435.0;15.0
90;23.7;0.55;435.0;15.0
91;23.8;0.45;424.0;26.0
92;23.8;0.475;424.0;26.0
93;23.8;0.5;435.0;15.0
94;23.8;0.5250000000000001;435.0;15.0
95;23.8;0.55;435.0;15.0
96;23.9;0.45;424.0;26.0
97;23.9;0.475;424.0;26.0
98;23.9;0.5;435.0;15.0
99;23.9;0.5250000000000001;435.0;15.0
100;23.9;0.55;435.0;15.0
101;24.0;0.45;424.0;26.0
102;24.0;0.475;424.0;26.0
103;24.0;0.5;435.0;15.0
104;24.0;0.5250000000000001;435.0;15.0
105;24.0;0.55;435.0;15.0
106;24.1;0.45;424.0;26.0
107;24.1;0.475;424.0;26.0
108;24.1;0.5;435.0;15.0
109;24.1;0.5250000000000001;435.0;15.0
110;24.1;0.55;435.0;15.0
111;24.2;0.45;424.0;26.0
112;24.2;0.475;424.0;26.0
113;24.2;0.5;435.0;15.0
114;24.2;0.5250000000000001;435.0;15.0
115;24.2;0.55;435.0;15.0
116;24.3;0.45;424.0;26.0
117;24.3;0.475;424.0;26.0
118;24.3;0.5;435.0;15.0
119;24.3;0.5250000000000001;435.0;15.0
120;24.3;0.55;435.0;15.0
121;24.4;0.45;424.0;26.0
122;24.4;0.475;424.0;26.0
123;24.4;0.5;435.0;15.0
124;24.4;0.5250000000000001;435.0;15.0
125;24.4;0.55;435.0;15.0
126;24.5;0.45;424.0;26.0
127;24.5;0.475;424.0;26.0
128;24.5;0.5;435.0;15.0
129;24.5;0.5250000000000001;435.0;15.0
130;24.5;0.55;435.0;15.0
131;24.6;0.45;424.0;26.0
132;24.6;0.475;424.0;26.0
133;24.6;0.5;435.0;15.0
134;24.6;0.5250000000000001;435.0;15.0
135;24.6;0.55;435.0;15.0
136;24.7;0.45;424.0;26.0
137;24.7;0.475;424.0;26.0
138;24.7;0.5;435.0;15.0
139;24.7;0.5250000000000001;435.0;15.0
140;24.7;0.55;435.0;15.0
141;24.8;0.45;424.0;26.0
142;24.8;0.475;424.0;26.0
143;24.8;0.5;435.0;15.0
144;24.8;0.5250000000000001;435.0;15.0
145;24.8;0.55;435.0;15.0
146;24.9;0.45;424.0;26.0
147;24.9;0.475;424.0;26.0
148;24.9;0.5;435.0;15.0
149;24.9;0.5250000000000001;435.0;15.0
150;24.9;0.55;435.0;15.0
151;25.0;0.45;424.0;26.0
152;25.0;0.475;424.0;26.0
153;25.0;0.5;435.0;15.0
154;25.0;0.5250000000000001;435.0;15.0
155;25.0;0.55;435.0;15.0
156;25.1;0.45;424.0;26.0
157;25.1;0.475;424.0;26.0
158;25.1;0.5;435.0;15.0
159;25.1;0.5250000000000001;435.0;15.0
160;25.1;0.55;435.0;15.0
161;25.2;0.45;424.0;26.0
162;25.2;0.475;424.0;26.0
163;25.2;0.5;435.0;15.0
164;25.2;0.5250000000000001;435.0;15.0
165;25.2;0.55;435.0;15.0
166;25.3;0.45;424.0;26.0
167;25.3;0.475;424.0;26.0
168;25.3;0.5;435.0;15.0
169;25.3;0.5250000000000001;435.0;15.0
170;25.3;0.55;435.0;15.0
171;25.4;0.45;424.0;26.0
172;25.4;0.475;424.0;26.0
173;25.4;0.5;435.0;15.0
174;25.4;0.5250000000000001;435.0;15.0
175;25.4;0.55;435.0;15.0
176;25.5;0.45;424.0;26.0
177;25.5;0.475;424.0;26.0
178;25.5;0.5;435.0;15.0
179;25.5;0.5250000000000001;435.0;15.0
180;25.5;0.55;435.0;15.0
181;25.6;0.45;424.0;26.0
182;25.6;0.475;424.0;26.0
183;25.6;0.5;435.0;15.0
184;25.6;0.5250000000000001;435.0;15.0
185;25.6;0.55;435.0;15.0
